Designator,Mid X,Mid Y,Rotation,Layer
B1,25.5,33.725,0.0,bottom
C1,36.6,22.9,90.0,top
C10,24.6,33.6,90.0,top
C11,30.2,35.8,90.0,top
C12,35.0,35.8,270.0,top
C13,28.0,21.0,90.0,top
C14,36.6,17.5,270.0,top
C15,26.65,12.85,90.0,top
C16,12.0,23.75,90.0,top
C17,12.3,17.25,90.0,top
C18,24.0,11.9,180.0,top
C19,28.0,24.0375,270.0,top
C2,26.61,28.0,90.0,top
C20,9.4,16.5,180.0,top
C21,22.9,3.7,270.0,top
C22,3.3,4.35,90.0,top
C23,2.6,8.9,90.0,top
C3,14.1,5.25,270.0,top
C4,20.3,5.25,270.0,top
C5,17.6274,32.3128,0.0,top
C6,17.6274,30.5348,0.0,top
C7,22.6,32.4,90.0,top
C8,20.5,32.4,90.0,top
C9,26.2,33.6,90.0,top
D1,26.7,8.6,90.0,top
D2,23.275,8.6,90.0,top
D3,4.4,8.8,90.0,top
F1,24.9,3.7,270.0,top
FB2,17.6528,34.3448,0.0,top
J1,14.7,39.6,90.0,top
J2,39.6,34.6,0.0,top
J3,28.2,2.1,0.0,top
J5,9.0,40.7,180.0,top
J6,23.05,0.1,270.0,top
J7,2.63,15.62,180.0,top
J8,39.8,9.75,90.0,top
J9,39.9,25.6,0.0,top
P1,-1.75,8.0,90.0,top
P2,33.6,22.3,180.0,top
P3,-0.6,4.5,180.0,top
R1,31.8,35.8,90.0,top
R10,13.1,8.9,180.0,top
R11,9.9,8.9,180.0,top
R12,29.7,21.0,270.0,top
R13,12.1,3.4,270.0,top
R14,12.1,6.4,270.0,top
R2,28.6,35.8,90.0,top
R3,33.4,35.8,270.0,top
R4,6.7,8.9,0.0,top
R5,29.7,24.025,270.0,top
R6,26.7,5.5,270.0,top
R7,21.675,8.6,90.0,top
R8,33.8,5.5,90.0,top
R9,28.5,5.5,90.0,top
SW1,29.0,42.1,270.0,top
SW2,9.5,34.0,180.0,top
SW3,31.6,13.4,270.0,top
TP3,36.8,29.5,0.0,top
U1,17.2,5.25,0.0,top
U2,31.15,5.6,270.0,top
U3,31.15,32.45,0.0,top
U4,20.0,20.0,270.0,top
U5,17.65,10.1,180.0,top
U6,9.9,12.75,0.0,top
U8,8.3,4.8025,90.0,top
X1,21.52,29.785,180.0,top
Y1,25.4,30.8,0.0,top
